Lab ID Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
174,4.525327252,11.51156955,11.35876911,10.05343591,7.951861993,7.379161058,6.478686183,5.815973749,5.569024426,5.271594154,4.873531717,4.64437488,4.110773606,3.829036963,3.513824867,3.234310012,2.64384582,2.38938397,2.014359957,1.596884922,1.445703739,1.268019123,1.063921573,1.119474707,1.047890224,0.9521364723,0.9037720356,0.8896344971,0.8817784202,0.7940099717
175,0.7574311477,1.724848556,1.740886525,1.652072077,1.45024972,1.650755831,1.371579874,1.402179444,1.558201323,1.466406984,1.638675976,1.339121565,1.124964791,1.103561947,1.095639664,1.155214982,0.9573795607,0.9926426076,0.8802896561,0.803227039,0.6200083418,0.5444707502,0.4486691908,0.4349515983,0.3504260323,0.3204124896,0.3235335591,0.3167263812,0.2870118472,0.2658158719
176,1.196450767,2.862526851,3.771642736,3.749150705,2.881625836,2.324119973,2.419007951,2.198758806,1.949105883,2.08457017,2.531543585,2.177426643,1.722821617,1.554907708,1.486526503,1.349445845,1.201812182,1.093106459,1.077208591,1.06418894,1.007302971,0.8243067551,0.7186938391,0.5853285811,0.5396749059,0.5383023561,0.4951406576,0.4359073985,0.4361707263,0.377731011
177,0.48781297,1.15634726,1.29082891,1.08142677,1.00261731,0.87644985,0.836426,0.75146904,0.66940999,0.6664441,0.62168273,0.60246912,0.54775773,0.57308691,0.53184834,0.56317519,0.5006333,0.4812948,0.42623468,0.39462057,0.3523583,0.33987113,0.31355304,0.25904889,0.24929585,0.22210456,0.19049349,0.17332339,0.16388574,0.15265686
178,0.89188409,1.56185996,1.46590836,1.43360172,1.35620781,1.32826703,1.06783439,0.98537087,0.94992157,0.88902182,0.84096867,0.7740747,0.73830776,0.70113092,0.6551066,0.65442495,0.59113789,0.55656741,0.50165995,0.44198576,0.38671516,0.32729531,0.29099786,0.27032498,0.26248746,0.24197688,0.23198263,0.21530243,0.18962538,0.19487601
179,0.4702916735,1.216224282,1.344880757,1.115579175,0.9699588554,0.882478619,0.8953610021,0.7380571261,0.8025248992,0.7489388693,0.7521957867,0.6546640211,0.587158752,0.5776606339,0.5547753801,0.5365086208,0.4862641677,0.4418122307,0.4166464525,0.3617980549,0.3013187168,0.2694336799,0.2405850635,0.2023969653,0.1816725004,0.1548778928,0.1463115203,0.1336519778,0.1217727022,0.124597827
180,0.9688876478,2.433343938,2.644119655,2.255779109,2.011804334,1.843638239,1.645404382,1.452391083,1.389571725,1.328423336,1.119394313,1.032176362,0.9311710536,0.8330500557,0.785129761,0.725805441,0.7081434682,0.6775680422,0.540270866,0.5401670746,0.4566215148,0.3398865954,0.3072760662,0.2753567715,0.238435807,0.20867306,0.2093058954,0.1944224427,0.177715344,0.1709380025
181,0.4434632599,0.9680196912,1.078626761,0.9423239624,0.8244052852,0.8461888491,0.7466868282,0.7237366962,0.7901799104,0.8106567188,0.7614426402,0.7693466588,0.7791230433,0.7830529348,0.7445960767,0.7573799413,0.7586537004,0.6704538524,0.6583419345,0.6235720324,0.5433262366,0.4310845493,0.4035435825,0.3242136079,0.3236376957,0.2712710586,0.2457221745,0.2374740129,0.205586049,0.1914615429
182,0.37998749,0.95428054,1.02889664,0.94666469,0.79153029,0.76770176,0.68049694,0.6196943,0.60015978,0.59142769,0.5770063,0.52994153,0.51055583,0.47848325,0.47198135,0.46193621,0.4128294,0.37338462,0.36646436,0.34591932,0.29208953,0.23979732,0.19003245,0.17955827,0.16112375,0.15399895,0.15292188,0.13599807,0.13145406,0.13179796
183,4.596273886,7.899234008,7.804735764,5.890026228,5.111856779,4.968292806,4.801384113,5.365934799,4.360328091,4.155094292,4.3652551,3.873975164,4.11267605,4.231632639,3.451708293,3.664338869,3.319401578,3.036592067,2.648210706,2.322681158,2.454318645,1.719095384,1.412011846,1.385436732,1.432123204,1.295508994,1.257068595,1.464387649,1.352703482,1.275984324
184,0.3830595788,0.8562101377,0.9012447419,0.8587003418,0.7736523798,0.7786025043,0.7495749412,0.6218719419,0.6020783682,0.5966590488,0.5701498345,0.543440452,0.4952833316,0.4961846948,0.4887744106,0.4469324514,0.4094741643,0.4282748352,0.381934207,0.3467230006,0.3010395791,0.2663020284,0.232059574,0.204682335,0.1910502925,0.1750548185,0.1709903754,0.1711298444,0.1591648369,0.1420976662
185,0.4784760408,0.9329528003,0.9512584898,0.81627949,0.681068396,0.7043260975,0.6463613832,0.5828513297,0.5429351393,0.5242142414,0.5104350885,0.4715436713,0.472442292,0.4156347997,0.3814178461,0.3915046387,0.367539017,0.3225966989,0.3027269532,0.2615319711,0.2441184163,0.2073569147,0.168867008,0.1417091198,0.1403274076,0.1297432762,0.1185547366,0.1041684856,0.1168145158,0.1061416564
